Display Name,Time,Op Gas Rate,Op Water Rate,Entity Name,API Number
21-06,12/01/1979 12:00:00 AM,8524.3,,KENAI UNIT,50133100900000
21-06,01/01/1980 12:00:00 AM,9206.8,0.0,KENAI UNIT,50133100900000
21-06,02/01/1980 12:00:00 AM,8256.9,0.0,KENAI UNIT,50133100900000
21-06,03/01/1980 12:00:00 AM,7320.8,0.0,KENAI UNIT,50133100900000
21-06,04/01/1980 12:00:00 AM,7517.1,0.0,KENAI UNIT,50133100900000
21-06,05/01/1980 12:00:00 AM,8200.7,0.0,KENAI UNIT,50133100900000
21-06,06/01/1980 12:00:00 AM,8280.4,0.0,KENAI UNIT,50133100900000
21-06,07/01/1980 12:00:00 AM,7234.0,0.0,KENAI UNIT,50133100900000
21-06,08/01/1980 12:00:00 AM,7618.8,0.0,KENAI UNIT,50133100900000
21-06,09/01/1980 12:00:00 AM,10229.5,0.0,KENAI UNIT,50133100900000
21-06,10/01/1980 12:00:00 AM,7387.8,0.0,KENAI UNIT,50133100900000
21-06,11/01/1980 12:00:00 AM,7945.4,0.0,KENAI UNIT,50133100900000
21-06,12/01/1980 12:00:00 AM,8753.5,230.1,KENAI UNIT,50133100900000
21-06,01/01/1981 12:00:00 AM,8669.1,0.0,KENAI UNIT,50133100900000
21-06,02/01/1981 12:00:00 AM,8504.8,0.0,KENAI UNIT,50133100900000
21-06,03/01/1981 12:00:00 AM,7750.0,0.0,KENAI UNIT,50133100900000
21-06,04/01/1981 12:00:00 AM,7847.1,0.0,KENAI UNIT,50133100900000
21-06,05/01/1981 12:00:00 AM,7594.2,0.0,KENAI UNIT,50133100900000
21-06,06/01/1981 12:00:00 AM,7354.9,0.0,KENAI UNIT,50133100900000
21-06,07/01/1981 12:00:00 AM,8431.0,0.0,KENAI UNIT,50133100900000
21-06,08/01/1981 12:00:00 AM,8640.0,0.0,KENAI UNIT,50133100900000
21-06,09/01/1981 12:00:00 AM,8888.0,0.0,KENAI UNIT,50133100900000
21-06,10/01/1981 12:00:00 AM,9386.1,1.0,KENAI UNIT,50133100900000
21-06,11/01/1981 12:00:00 AM,9573.5,1.0,KENAI UNIT,50133100900000
21-06,12/01/1981 12:00:00 AM,9395.9,1.3,KENAI UNIT,50133100900000
21-06,01/01/1982 12:00:00 AM,7954.8,1.6,KENAI UNIT,50133100900000
21-06,02/01/1982 12:00:00 AM,9870.6,1.2,KENAI UNIT,50133100900000
21-06,03/01/1982 12:00:00 AM,8596.9,0.7,KENAI UNIT,50133100900000
21-06,04/01/1982 12:00:00 AM,8421.2,0.5,KENAI UNIT,50133100900000
21-06,05/01/1982 12:00:00 AM,7853.3,2.5,KENAI UNIT,50133100900000
21-06,06/01/1982 12:00:00 AM,6931.3,1.2,KENAI UNIT,50133100900000
21-06,07/01/1982 12:00:00 AM,6871.0,1.0,KENAI UNIT,50133100900000
21-06,08/01/1982 12:00:00 AM,6300.9,2.5,KENAI UNIT,50133100900000
21-06,09/01/1982 12:00:00 AM,5848.9,1.2,KENAI UNIT,50133100900000
21-06,10/01/1982 12:00:00 AM,6497.4,1.4,KENAI UNIT,50133100900000
21-06,11/01/1982 12:00:00 AM,0.0,0.0,KENAI UNIT,50133100900000
21-06,12/01/1982 12:00:00 AM,0.0,0.0,KENAI UNIT,50133100900000
21-06,01/01/1983 12:00:00 AM,0.0,0.0,KENAI UNIT,50133100900000
21-06,02/01/1983 12:00:00 AM,0.0,0.0,KENAI UNIT,50133100900000
21-06,03/01/1983 12:00:00 AM,0.0,0.0,KENAI UNIT,50133100900000
21-06,04/01/1983 12:00:00 AM,0.0,0.0,KENAI UNIT,50133100900000
21-06,05/01/1983 12:00:00 AM,0.0,0.0,KENAI UNIT,50133100900000
21-06,06/01/1983 12:00:00 AM,3422.5,0.5,KENAI UNIT,50133100900000
21-06,07/01/1983 12:00:00 AM,0.0,0.0,KENAI UNIT,50133100900000
21-06,08/01/1983 12:00:00 AM,0.0,0.0,KENAI UNIT,50133100900000
21-06,09/01/1983 12:00:00 AM,0.0,0.0,KENAI UNIT,50133100900000
21-06,10/01/1983 12:00:00 AM,0.0,0.0,KENAI UNIT,50133100900000
21-06,11/01/1983 12:00:00 AM,0.0,0.0,KENAI UNIT,50133100900000
21-06,12/01/1983 12:00:00 AM,0.0,0.0,KENAI UNIT,50133100900000
21-06,01/01/1984 12:00:00 AM,6171.0,0.0,KENAI UNIT,50133100900000
21-06,02/01/1984 12:00:00 AM,0.0,0.0,KENAI UNIT,50133100900000
21-06,03/01/1984 12:00:00 AM,0.0,0.0,KENAI UNIT,50133100900000
21-06,04/01/1984 12:00:00 AM,0.0,0.0,KENAI UNIT,50133100900000
21-06,05/01/1984 12:00:00 AM,0.0,0.0,KENAI UNIT,50133100900000
21-06,06/01/1984 12:00:00 AM,0.0,0.0,KENAI UNIT,50133100900000
21-06,07/01/1984 12:00:00 AM,0.0,0.0,KENAI UNIT,50133100900000
21-06,08/01/1984 12:00:00 AM,500.0,0.0,KENAI UNIT,50133100900000
21-06,09/01/1984 12:00:00 AM,3303.5,0.8,KENAI UNIT,50133100900000
21-06,10/01/1984 12:00:00 AM,3431.0,0.2,KENAI UNIT,50133100900000
21-06,11/01/1984 12:00:00 AM,4512.5,0.2,KENAI UNIT,50133100900000
21-06,12/01/1984 12:00:00 AM,4682.5,0.0,KENAI UNIT,50133100900000
21-06,01/01/1985 12:00:00 AM,4897.2,0.0,KENAI UNIT,50133100900000
21-06,02/01/1985 12:00:00 AM,5240.0,0.0,KENAI UNIT,50133100900000
21-06,03/01/1985 12:00:00 AM,4474.7,0.0,KENAI UNIT,50133100900000
21-06,04/01/1985 12:00:00 AM,4878.1,0.0,KENAI UNIT,50133100900000
21-06,05/01/1985 12:00:00 AM,4206.9,0.0,KENAI UNIT,50133100900000
21-06,06/01/1985 12:00:00 AM,3693.4,0.0,KENAI UNIT,50133100900000
